,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
52,Atletico-MG,Brazil,2009-11-01,BR1,1,3,2,Goias,3.1,3.5,2.15,1.65,2009,2.2
53,Botafogo RJ,Brazil,2009-11-01,BR1,1,1,0,Internacional,4.75,3.6,1.73,1.67,2009,2.15
54,Sport Recife,Brazil,2009-11-01,BR1,1,2,3,Nautico,2.75,3.25,2.63,1.8,2009,2.0
55,Corinthians,Brazil,2009-11-01,BR1,1,2,2,Palmeiras,3.1,3.4,2.2,1.8,2009,2.0
56,Gremio,Brazil,2009-11-01,BR1,1,0,2,Santo Andre,2.6,3.3,2.63,1.95,2009,1.85
57,Atletico-PR,Brazil,2009-10-31,BR1,1,0,2,Avai,3.8,3.25,1.91,1.7,2009,2.1
58,Santos,Brazil,2009-10-31,BR1,1,0,1,Flamengo RJ,5.0,3.6,1.7,1.7,2009,2.1
59,Barueri,Brazil,2009-10-31,BR1,1,0,1,Sao Paulo,5.25,3.75,1.6,1.7,2009,2.1
60,Atletico-MG,Brazil,2009-10-30,BR1,1,1,2,Fluminense,2.88,3.4,2.38,1.95,2009,1.85
61,Goias,Brazil,2009-10-30,BR1,1,0,4,Palmeiras,5.0,3.6,1.65,1.62,2009,2.25
62,Coritiba,Brazil,2009-10-30,BR1,1,1,1,Sport Recife,5.25,3.5,1.7,1.67,2009,2.15
63,Flamengo RJ,Brazil,2009-10-29,BR1,1,0,2,Barueri,2.45,3.4,2.75,1.7,2009,2.1
64,Santo Andre,Brazil,2009-10-29,BR1,1,2,3,Cruzeiro,5.25,4.0,1.6,1.7,2009,2.1
65,Avai,Brazil,2009-10-29,BR1,1,1,3,Gremio,6.0,3.8,1.57,1.57,2009,2.35
66,Internacional,Brazil,2009-10-29,BR1,1,0,1,Sao Paulo,4.0,3.4,1.91,1.85,2009,1.95
67,Corinthians,Brazil,2009-10-29,BR1,1,1,0,Vitoria,3.75,3.4,2.0,1.8,2009,2.0
68,Santos,Brazil,2009-10-28,BR1,1,1,1,Atletico-PR,3.1,3.25,2.29,1.8,2009,2.0
69,Nautico,Brazil,2009-10-28,BR1,1,0,1,Botafogo RJ,7.0,4.0,1.5,1.6,2009,2.29
70,Sport Recife,Brazil,2009-10-25,BR1,1,2,2,Avai,5.5,3.6,1.62,1.65,2009,2.2
71,Flamengo RJ,Brazil,2009-10-25,BR1,1,1,0,Botafogo RJ,2.75,3.3,2.5,1.7,2009,2.1
72,Cruzeiro,Brazil,2009-10-25,BR1,1,1,0,Corinthians,3.1,3.25,2.29,1.8,2009,2.0
73,Atletico-PR,Brazil,2009-10-25,BR1,1,2,3,Coritiba,3.5,3.3,2.1,1.9,2009,1.9
74,Fluminense,Brazil,2009-10-25,BR1,1,2,2,Goias,3.5,3.6,1.75,1.62,2009,2.25
75,Gremio,Brazil,2009-10-25,BR1,1,0,1,Internacional,3.5,3.25,2.1,1.75,2009,2.04
76,Sao Paulo,Brazil,2009-10-25,BR1,1,4,3,Santos,2.5,3.3,2.88,2.0,2009,1.8
77,Vitoria,Brazil,2009-10-24,BR1,1,0,1,Atletico-MG,4.5,3.6,1.73,1.65,2009,2.2
78,Barueri,Brazil,2009-10-24,BR1,1,1,2,Nautico,3.75,3.4,2.0,1.65,2009,2.2
79,Palmeiras,Brazil,2009-10-22,BR1,1,0,2,Santo Andre,1.91,3.5,4.0,1.8,2009,2.0
80,Santo Andre,Brazil,2009-10-18,BR1,1,0,3,Atletico-PR,3.8,3.4,1.95,1.95,2009,1.85
81,Botafogo RJ,Brazil,2009-10-18,BR1,1,0,1,Cruzeiro,4.0,3.4,1.91,1.65,2009,2.2
82,Internacional,Brazil,2009-10-18,BR1,1,2,2,Fluminense,2.88,3.3,2.4,1.8,2009,2.0
83,Coritiba,Brazil,2009-10-18,BR1,1,0,2,Gremio,6.0,3.75,1.57,1.65,2009,2.2
84,Flamengo RJ,Brazil,2009-10-18,BR1,1,2,0,Palmeiras,4.5,3.5,1.8,1.7,2009,2.1
85,Corinthians,Brazil,2009-10-18,BR1,1,0,2,Sport Recife,3.25,3.5,2.0,1.8,2009,2.0
86,Nautico,Brazil,2009-10-18,BR1,1,1,3,Vitoria,6.5,3.6,1.6,1.67,2009,2.15
