,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
0,Bahia,Brazil,2012-12-02,BR1,1,1,0,Atletico GO,2.25,3.4,3.1,1.8,2012,2.0
1,Cruzeiro,Brazil,2012-12-02,BR1,1,2,3,Atletico-MG,5.0,3.8,1.65,1.6,2012,2.29
2,Figueirense,Brazil,2012-12-02,BR1,1,0,3,Coritiba,7.5,5.0,1.36,1.6,2012,2.29
3,Vasco,Brazil,2012-12-02,BR1,1,2,1,Fluminense,3.1,3.4,2.25,1.85,2012,1.95
4,Internacional,Brazil,2012-12-02,BR1,1,0,0,Gremio,5.0,3.8,1.65,1.8,2012,2.0
5,Sport Recife,Brazil,2012-12-02,BR1,1,0,1,Nautico,2.63,3.3,2.6,1.8,2012,2.0
6,Ponte Preta,Brazil,2012-12-02,BR1,1,0,0,Portuguesa,5.0,3.5,1.73,1.95,2012,1.85
7,Corinthians,Brazil,2012-12-02,BR1,1,1,3,Sao Paulo,2.2,3.25,3.25,2.1,2012,1.7
8,Botafogo RJ,Brazil,2012-12-01,BR1,1,2,2,Flamengo RJ,3.0,3.2,2.4,1.85,2012,1.95
9,Palmeiras,Brazil,2012-12-01,BR1,1,1,3,Santos,6.0,4.0,1.53,1.8,2012,2.0
10,Nautico,Brazil,2012-11-25,BR1,1,1,1,Bahia,5.5,3.75,1.62,2.08,2012,1.73
11,Atletico-MG,Brazil,2012-11-25,BR1,1,3,2,Botafogo RJ,2.7,3.4,2.5,1.8,2012,2.0
12,Coritiba,Brazil,2012-11-25,BR1,1,1,2,Cruzeiro,3.1,3.4,2.25,1.8,2012,2.0
13,Gremio,Brazil,2012-11-25,BR1,1,4,2,Figueirense,1.67,3.75,5.0,1.73,2012,2.08
14,Portuguesa,Brazil,2012-11-25,BR1,1,2,0,Internacional,3.0,3.4,2.29,1.95,2012,1.85
15,Atletico GO,Brazil,2012-11-25,BR1,1,2,1,Palmeiras,3.75,3.6,1.91,1.57,2012,2.35
16,Sao Paulo,Brazil,2012-11-25,BR1,1,0,0,Ponte Preta,3.6,3.5,2.0,1.95,2012,1.85
17,Fluminense,Brazil,2012-11-25,BR1,1,1,1,Sport Recife,3.9,3.8,1.83,1.7,2012,2.1
18,Santos,Brazil,2012-11-24,BR1,1,1,1,Corinthians,4.75,3.6,1.75,1.95,2012,1.85
19,Flamengo RJ,Brazil,2012-11-24,BR1,1,1,1,Vasco,2.29,3.2,3.2,2.04,2012,1.75
20,Atletico GO,Brazil,2012-11-18,BR1,1,2,2,Atletico-MG,12.0,5.5,1.25,1.53,2012,2.4
21,Ponte Preta,Brazil,2012-11-18,BR1,1,0,1,Bahia,4.75,3.6,1.73,2.04,2012,1.75
22,Palmeiras,Brazil,2012-11-18,BR1,1,1,1,Flamengo RJ,2.8,3.4,2.4,1.7,2012,2.1
23,Cruzeiro,Brazil,2012-11-18,BR1,1,2,0,Fluminense,5.0,3.6,1.7,1.67,2012,2.15
24,Corinthians,Brazil,2012-11-18,BR1,1,2,0,Internacional,3.3,3.3,2.2,2.04,2012,1.75
25,Gremio,Brazil,2012-11-18,BR1,1,2,2,Portuguesa,2.63,3.3,2.63,2.08,2012,1.73
26,Nautico,Brazil,2012-11-18,BR1,1,1,2,Sao Paulo,9.0,5.0,1.33,1.65,2012,2.2
27,Botafogo RJ,Brazil,2012-11-18,BR1,1,0,2,Sport Recife,3.0,3.5,2.25,1.7,2012,2.1
28,Vasco,Brazil,2012-11-17,BR1,1,2,1,Coritiba,4.75,3.75,1.7,1.8,2012,2.0
29,Figueirense,Brazil,2012-11-17,BR1,1,0,2,Santos,9.0,5.0,1.33,1.5,2012,2.5
30,Coritiba,Brazil,2012-11-11,BR1,1,1,5,Corinthians,4.5,3.5,1.8,2.0,2012,1.8
31,Bahia,Brazil,2012-11-11,BR1,1,1,3,Cruzeiro,3.5,3.3,2.1,2.25,2012,1.62
32,Sport Recife,Brazil,2012-11-11,BR1,1,1,1,Figueirense,2.63,3.5,2.5,1.67,2012,2.15
33,Sao Paulo,Brazil,2012-11-11,BR1,1,1,2,Gremio,2.9,3.3,2.38,1.95,2012,1.85
34,Flamengo RJ,Brazil,2012-11-11,BR1,1,1,0,Nautico,5.25,3.6,1.67,1.95,2012,1.85
