,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
0,Sao Paulo,Brazil,2007-12-02,BR1,1,1,2,Atletico-PR,3.5,3.25,2.0,,2007,
1,Figueirense,Brazil,2007-12-02,BR1,1,1,1,Botafogo RJ,4.5,3.4,1.72,,2007,
2,America RN,Brazil,2007-12-02,BR1,1,0,2,Cruzeiro,15.0,7.0,1.12,,2007,
3,Internacional,Brazil,2007-12-02,BR1,1,1,2,Goias,3.5,3.25,2.0,,2007,
4,Corinthians,Brazil,2007-12-02,BR1,1,1,1,Gremio,4.0,3.3,1.83,,2007,
5,Sport Recife,Brazil,2007-12-02,BR1,1,1,2,Juventude,,,,,2007,
6,Flamengo RJ,Brazil,2007-12-02,BR1,1,0,1,Nautico,2.87,3.2,2.29,,2007,
7,Atletico-MG,Brazil,2007-12-02,BR1,1,3,1,Palmeiras,6.0,3.75,1.5,,2007,
8,Fluminense,Brazil,2007-12-02,BR1,1,4,2,Santos,4.5,3.4,1.72,,2007,
9,Parana,Brazil,2007-12-02,BR1,1,0,3,Vasco,5.5,3.6,1.57,,2007,
10,Goias,Brazil,2007-11-29,BR1,1,1,4,Atletico-MG,3.8,3.25,2.04,,2007,
11,Vasco,Brazil,2007-11-29,BR1,1,1,0,Corinthians,4.5,3.1,1.8,,2007,
12,Nautico,Brazil,2007-11-29,BR1,1,0,2,Figueirense,3.6,3.3,1.95,,2007,
13,Atletico-PR,Brazil,2007-11-25,BR1,1,0,2,Flamengo RJ,5.75,3.75,1.53,,2007,
14,Palmeiras,Brazil,2007-11-25,BR1,1,1,2,Internacional,3.5,3.4,1.95,,2007,
15,Santos,Brazil,2007-11-25,BR1,1,3,2,Parana,2.29,3.2,2.9,,2007,
16,Botafogo RJ,Brazil,2007-11-25,BR1,1,2,2,Sao Paulo,5.5,3.8,1.53,,2007,
17,Cruzeiro,Brazil,2007-11-25,BR1,1,0,1,Sport Recife,2.8,3.3,2.29,,2007,
18,Gremio,Brazil,2007-11-24,BR1,1,3,0,America RN,1.44,4.0,7.0,,2007,
19,Juventude,Brazil,2007-11-24,BR1,1,2,3,Fluminense,5.0,3.5,1.62,,2007,
20,Fluminense,Brazil,2007-11-15,BR1,1,0,1,Palmeiras,4.5,3.8,1.75,,2007,
21,Juventude,Brazil,2007-11-11,BR1,1,1,4,Atletico-MG,5.5,3.5,1.6,,2007,
22,Sport Recife,Brazil,2007-11-11,BR1,1,0,0,Atletico-PR,4.5,3.5,1.7,,2007,
23,Vasco,Brazil,2007-11-11,BR1,1,3,3,Figueirense,3.4,3.25,1.95,,2007,
24,Santos,Brazil,2007-11-11,BR1,1,0,1,Flamengo RJ,3.2,3.5,2.2,,2007,
25,Corinthians,Brazil,2007-11-11,BR1,1,1,1,Goias,3.4,3.6,2.04,,2007,
26,Gremio,Brazil,2007-11-11,BR1,1,0,1,Sao Paulo,4.0,3.4,1.75,,2007,
27,Parana,Brazil,2007-11-10,BR1,1,2,3,Botafogo RJ,4.75,3.2,1.7,,2007,
28,Cruzeiro,Brazil,2007-11-10,BR1,1,0,1,Internacional,3.2,3.1,2.04,,2007,
29,America RN,Brazil,2007-11-10,BR1,1,0,4,Nautico,9.0,5.0,1.25,,2007,
30,Sao Paulo,Brazil,2007-11-08,BR1,1,0,2,Juventude,2.2,3.4,3.2,,2007,
31,Botafogo RJ,Brazil,2007-11-04,BR1,1,1,1,America RN,1.6,3.5,5.0,,2007,
32,Atletico-PR,Brazil,2007-11-04,BR1,1,2,2,Corinthians,3.8,3.3,1.75,,2007,
33,Flamengo RJ,Brazil,2007-11-04,BR1,1,1,3,Cruzeiro,3.4,3.5,2.04,,2007,
34,Atletico-MG,Brazil,2007-11-04,BR1,1,2,2,Santos,5.5,3.8,1.5,,2007,
35,Palmeiras,Brazil,2007-11-04,BR1,1,1,3,Sport Recife,2.75,3.2,2.25,,2007,
36,Internacional,Brazil,2007-11-04,BR1,1,2,1,Vasco,3.1,3.5,2.2,,2007,
37,Nautico,Brazil,2007-11-03,BR1,1,1,2,Fluminense,4.0,3.25,1.8,,2007,
38,Figueirense,Brazil,2007-11-03,BR1,1,2,1,Gremio,5.0,3.4,1.62,,2007,
39,Goias,Brazil,2007-11-03,BR1,1,0,1,Parana,3.8,3.25,1.8,,2007,
40,Cruzeiro,Brazil,2007-11-01,BR1,1,1,4,Botafogo RJ,2.7,3.25,2.29,,2007,
41,Corinthians,Brazil,2007-11-01,BR1,1,1,2,Flamengo RJ,4.33,3.3,1.75,,2007,
42,Vasco,Brazil,2007-11-01,BR1,1,3,2,Goias,3.4,3.3,1.91,,2007,
43,Sport Recife,Brazil,2007-11-01,BR1,1,0,0,Internacional,6.5,3.6,1.45,,2007,
44,Santos,Brazil,2007-11-01,BR1,1,2,1,Nautico,2.8,3.2,2.25,,2007,
45,Juventude,Brazil,2007-11-01,BR1,1,1,0,Palmeiras,7.0,4.0,1.36,,2007,
46,America RN,Brazil,2007-11-01,BR1,1,0,3,Sao Paulo,21.0,7.0,1.08,,2007,
47,Parana,Brazil,2007-10-31,BR1,1,0,0,Atletico-MG,4.5,3.25,1.7,,2007,
48,Gremio,Brazil,2007-10-31,BR1,1,0,2,Atletico-PR,3.2,3.2,2.04,,2007,
49,Fluminense,Brazil,2007-10-31,BR1,1,2,0,Figueirense,3.5,3.2,1.91,,2007,
50,Flamengo RJ,Brazil,2007-10-28,BR1,1,1,0,America RN,1.17,5.5,21.0,,2007,
51,Figueirense,Brazil,2007-10-28,BR1,1,1,2,Corinthians,4.0,3.3,1.83,,2007,
52,Nautico,Brazil,2007-10-28,BR1,1,3,4,Gremio,5.5,3.6,1.57,,2007,
53,Botafogo RJ,Brazil,2007-10-28,BR1,1,1,1,Juventude,3.2,3.3,2.1,,2007,
54,Internacional,Brazil,2007-10-28,BR1,1,0,1,Parana,2.6,3.25,2.5,,2007,
55,Sao Paulo,Brazil,2007-10-28,BR1,1,2,1,Sport Recife,2.38,3.25,3.0,,2007,
56,Palmeiras,Brazil,2007-10-28,BR1,1,2,2,Vasco,3.2,3.4,2.2,,2007,
57,Atletico-PR,Brazil,2007-10-27,BR1,1,1,1,Cruzeiro,5.5,3.75,1.62,,2007,
58,Atletico-MG,Brazil,2007-10-27,BR1,1,1,1,Fluminense,4.2,3.3,1.8,,2007,
59,Goias,Brazil,2007-10-27,BR1,1,0,3,Santos,6.5,4.0,1.45,,2007,
60,Vasco,Brazil,2007-10-21,BR1,1,0,1,Atletico-MG,3.8,3.25,1.91,,2007,
61,America RN,Brazil,2007-10-21,BR1,1,0,2,Atletico-PR,11.0,5.25,1.22,,2007,
62,Santos,Brazil,2007-10-21,BR1,1,0,1,Figueirense,2.7,3.25,2.4,,2007,
63,Gremio,Brazil,2007-10-21,BR1,1,0,2,Flamengo RJ,3.5,3.4,2.04,,2007,
64,Juventude,Brazil,2007-10-21,BR1,1,0,3,Internacional,6.5,4.0,1.45,,2007,
65,Corinthians,Brazil,2007-10-21,BR1,1,0,1,Nautico,4.0,3.3,1.85,,2007,
