,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
0,Cruzeiro,Brazil,2003-12-14,BR1,1,7,0,Bahia,,,,,2003,
1,Juventude,Brazil,2003-12-14,BR1,1,0,1,Fluminense,,,,,2003,
2,Corinthians,Brazil,2003-12-14,BR1,1,0,3,Gremio,,,,,2003,
3,Atletico-PR,Brazil,2003-12-14,BR1,1,2,2,Paysandu PA,,,,,2003,
4,Fortaleza,Brazil,2003-12-14,BR1,1,0,2,Ponte Preta,,,,,2003,
5,Flamengo RJ,Brazil,2003-12-14,BR1,1,3,1,Sao Paulo,,,,,2003,
6,Santos,Brazil,2003-12-14,BR1,1,1,1,Vasco,,,,,2003,
7,Goias,Brazil,2003-12-13,BR1,1,2,3,Atletico-MG,,,,,2003,
8,Criciuma,Brazil,2003-12-13,BR1,1,0,2,Coritiba,,,,,2003,
9,Guarani,Brazil,2003-12-13,BR1,1,0,2,Figueirense,,,,,2003,
10,Vitoria,Brazil,2003-12-13,BR1,1,0,2,Parana,,,,,2003,
11,Internacional,Brazil,2003-12-13,BR1,1,0,5,Sao Caetano,,,,,2003,
12,Bahia,Brazil,2003-12-07,BR1,1,2,3,Criciuma,,,,,2003,
13,Fluminense,Brazil,2003-12-07,BR1,1,2,5,Cruzeiro,,,,,2003,
14,Ponte Preta,Brazil,2003-12-07,BR1,1,1,1,Flamengo RJ,,,,,2003,
15,Coritiba,Brazil,2003-12-07,BR1,1,2,2,Fortaleza,,,,,2003,
16,Paysandu PA,Brazil,2003-12-07,BR1,1,1,2,Guarani,,,,,2003,
17,Sao Paulo,Brazil,2003-12-07,BR1,1,1,1,Internacional,,,,,2003,
18,Sao Caetano,Brazil,2003-12-07,BR1,1,1,2,Juventude,,,,,2003,
19,Gremio,Brazil,2003-12-07,BR1,1,2,2,Santos,,,,,2003,
20,Vasco,Brazil,2003-12-06,BR1,1,2,2,Atletico-PR,,,,,2003,
21,Parana,Brazil,2003-12-06,BR1,1,1,1,Corinthians,,,,,2003,
22,Figueirense,Brazil,2003-12-06,BR1,1,3,0,Goias,,,,,2003,
23,Atletico-MG,Brazil,2003-12-06,BR1,1,1,0,Vitoria,,,,,2003,
24,Bahia,Brazil,2003-11-30,BR1,1,2,1,Corinthians,,,,,2003,
25,Gremio,Brazil,2003-11-30,BR1,1,2,0,Criciuma,,,,,2003,
26,Paysandu PA,Brazil,2003-11-30,BR1,1,1,2,Cruzeiro,,,,,2003,
27,Parana,Brazil,2003-11-30,BR1,1,3,5,Fortaleza,,,,,2003,
28,Santos,Brazil,2003-11-30,BR1,1,0,3,Goias,,,,,2003,
29,Sao Paulo,Brazil,2003-11-30,BR1,1,2,1,Ponte Preta,,,,,2003,
30,Coritiba,Brazil,2003-11-30,BR1,1,0,1,Vitoria,,,,,2003,
31,Guarani,Brazil,2003-11-29,BR1,1,1,3,Atletico-PR,,,,,2003,
32,Sao Caetano,Brazil,2003-11-29,BR1,1,1,2,Fluminense,,,,,2003,
33,Flamengo RJ,Brazil,2003-11-29,BR1,1,1,3,Internacional,,,,,2003,
34,Atletico-MG,Brazil,2003-11-29,BR1,1,0,1,Juventude,,,,,2003,
35,Figueirense,Brazil,2003-11-29,BR1,1,0,1,Vasco,,,,,2003,
36,Atletico-PR,Brazil,2003-11-23,BR1,1,2,0,Bahia,,,,,2003,
37,Corinthians,Brazil,2003-11-23,BR1,1,1,0,Guarani,,,,,2003,
38,Cruzeiro,Brazil,2003-11-23,BR1,1,3,1,Parana,,,,,2003,
39,Juventude,Brazil,2003-11-23,BR1,1,2,3,Paysandu PA,,,,,2003,
