,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
0,Sao Caetano,Brazil,2004-12-19,BR1,1,0,3,Atletico-MG,,,,,2004,
1,Botafogo RJ,Brazil,2004-12-19,BR1,1,1,1,Atletico-PR,,,,,2004,
2,Figueirense,Brazil,2004-12-19,BR1,1,2,5,Corinthians,,,,,2004,
3,Coritiba,Brazil,2004-12-19,BR1,1,3,3,Criciuma,,,,,2004,
4,Cruzeiro,Brazil,2004-12-19,BR1,1,2,6,Flamengo RJ,,,,,2004,
5,Palmeiras,Brazil,2004-12-19,BR1,1,1,1,Fluminense,,,,,2004,
6,Sao Paulo,Brazil,2004-12-19,BR1,1,0,2,Goias,,,,,2004,
7,Gremio,Brazil,2004-12-19,BR1,1,0,2,Guarani,,,,,2004,
8,Parana,Brazil,2004-12-19,BR1,1,1,2,Internacional,,,,,2004,
9,Paysandu PA,Brazil,2004-12-19,BR1,1,2,1,Juventude,,,,,2004,
10,Vasco,Brazil,2004-12-19,BR1,1,1,2,Santos,,,,,2004,
11,Ponte Preta,Brazil,2004-12-19,BR1,1,2,1,Vitoria,,,,,2004,
12,Corinthians,Brazil,2004-12-12,BR1,1,2,1,Botafogo RJ,,,,,2004,
13,Goias,Brazil,2004-12-12,BR1,1,0,1,Coritiba,,,,,2004,
14,Vitoria,Brazil,2004-12-12,BR1,1,0,4,Cruzeiro,,,,,2004,
15,Juventude,Brazil,2004-12-12,BR1,1,0,1,Figueirense,,,,,2004,
16,Internacional,Brazil,2004-12-12,BR1,1,2,1,Ponte Preta,,,,,2004,
17,Santos,Brazil,2004-12-12,BR1,1,3,0,Sao Caetano,,,,,2004,
18,Flamengo RJ,Brazil,2004-12-12,BR1,1,1,1,Sao Paulo,,,,,2004,
19,Atletico-PR,Brazil,2004-12-12,BR1,1,0,1,Vasco,,,,,2004,
20,Atletico-MG,Brazil,2004-12-11,BR1,1,1,0,Gremio,,,,,2004,
21,Criciuma,Brazil,2004-12-11,BR1,1,2,3,Palmeiras,,,,,2004,
22,Fluminense,Brazil,2004-12-11,BR1,1,1,0,Parana,,,,,2004,
23,Guarani,Brazil,2004-12-11,BR1,1,2,4,Paysandu PA,,,,,2004,
24,Sao Caetano,Brazil,2004-12-05,BR1,1,2,5,Atletico-PR,,,,,2004,
25,Coritiba,Brazil,2004-12-05,BR1,1,0,0,Flamengo RJ,,,,,2004,
26,Cruzeiro,Brazil,2004-12-05,BR1,1,0,2,Internacional,,,,,2004,
27,Botafogo RJ,Brazil,2004-12-05,BR1,1,0,1,Juventude,,,,,2004,
28,Gremio,Brazil,2004-12-05,BR1,1,1,5,Santos,,,,,2004,
29,Sao Paulo,Brazil,2004-12-05,BR1,1,4,1,Vitoria,,,,,2004,
30,Paysandu PA,Brazil,2004-12-04,BR1,1,0,0,Atletico-MG,,,,,2004,
31,Vasco,Brazil,2004-12-04,BR1,1,1,3,Corinthians,,,,,2004,
32,Parana,Brazil,2004-12-04,BR1,1,2,1,Criciuma,,,,,2004,
33,Ponte Preta,Brazil,2004-12-04,BR1,1,0,1,Fluminense,,,,,2004,
34,Palmeiras,Brazil,2004-12-04,BR1,1,0,0,Goias,,,,,2004,
35,Figueirense,Brazil,2004-12-04,BR1,1,1,2,Guarani,,,,,2004,
36,Vitoria,Brazil,2004-11-28,BR1,1,1,5,Coritiba,,,,,2004,
37,Atletico-PR,Brazil,2004-11-28,BR1,1,3,3,Gremio,,,,,2004,
38,Flamengo RJ,Brazil,2004-11-28,BR1,1,2,1,Palmeiras,,,,,2004,
39,Santos,Brazil,2004-11-28,BR1,1,1,1,Paysandu PA,,,,,2004,
40,Criciuma,Brazil,2004-11-28,BR1,1,0,1,Ponte Preta,,,,,2004,
41,Corinthians,Brazil,2004-11-28,BR1,1,1,2,Sao Caetano,,,,,2004,
42,Juventude,Brazil,2004-11-28,BR1,1,1,1,Vasco,,,,,2004,
43,Guarani,Brazil,2004-11-27,BR1,1,0,1,Botafogo RJ,,,,,2004,
44,Fluminense,Brazil,2004-11-27,BR1,1,3,2,Cruzeiro,,,,,2004,
45,Atletico-MG,Brazil,2004-11-27,BR1,1,1,2,Figueirense,,,,,2004,
46,Goias,Brazil,2004-11-27,BR1,1,1,2,Parana,,,,,2004,
47,Internacional,Brazil,2004-11-27,BR1,1,1,2,Sao Paulo,,,,,2004,
48,Santos,Brazil,2004-11-21,BR1,1,1,0,Coritiba,2.1,3.2,3.0,,2004,
49,Paysandu PA,Brazil,2004-11-21,BR1,1,0,1,Criciuma,4.33,3.4,1.67,,2004,
50,Corinthians,Brazil,2004-11-21,BR1,1,1,0,Cruzeiro,3.4,3.25,1.91,,2004,
51,Botafogo RJ,Brazil,2004-11-21,BR1,1,0,0,Flamengo RJ,2.5,3.1,2.5,,2004,
52,Vasco,Brazil,2004-11-21,BR1,1,2,3,Goias,5.5,3.6,1.5,,2004,
53,Sao Caetano,Brazil,2004-11-21,BR1,1,0,1,Internacional,,,,,2004,
54,Atletico-PR,Brazil,2004-11-21,BR1,1,3,2,Ponte Preta,1.83,3.4,3.5,,2004,
55,Juventude,Brazil,2004-11-21,BR1,1,0,4,Sao Paulo,5.5,3.6,1.5,,2004,
56,Figueirense,Brazil,2004-11-20,BR1,1,2,0,Fluminense,5.0,3.25,1.62,,2004,
57,Guarani,Brazil,2004-11-20,BR1,1,2,0,Palmeiras,9.99,5.0,1.2,,2004,
58,Atletico-MG,Brazil,2004-11-20,BR1,1,0,1,Parana,4.0,3.4,1.73,,2004,
59,Gremio,Brazil,2004-11-20,BR1,1,0,2,Vitoria,4.0,3.4,1.73,,2004,
60,Flamengo RJ,Brazil,2004-11-14,BR1,1,1,6,Atletico-MG,2.75,3.25,2.25,,2004,
61,Criciuma,Brazil,2004-11-14,BR1,1,1,6,Atletico-PR,7.0,4.33,1.33,,2004,
62,Palmeiras,Brazil,2004-11-14,BR1,1,1,0,Figueirense,2.5,3.1,2.5,,2004,
63,Vitoria,Brazil,2004-11-14,BR1,1,0,0,Guarani,4.33,3.2,1.73,,2004,
64,Internacional,Brazil,2004-11-14,BR1,1,3,2,Juventude,3.5,3.2,1.91,,2004,
65,Parana,Brazil,2004-11-14,BR1,1,1,1,Paysandu PA,3.6,3.4,1.8,,2004,
66,Goias,Brazil,2004-11-14,BR1,1,1,2,Santos,5.0,3.5,1.57,,2004,
