,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
0,Fortaleza,Brazil,2005-12-04,BR1,1,0,2,Botafogo RJ,,,,,2005,
1,Internacional,Brazil,2005-12-04,BR1,1,0,1,Coritiba,,,,,2005,
2,Sao Caetano,Brazil,2005-12-04,BR1,1,3,1,Cruzeiro,,,,,2005,
3,Santos,Brazil,2005-12-04,BR1,1,1,3,Figueirense,,,,,2005,
4,Corinthians,Brazil,2005-12-04,BR1,1,2,3,Goias,,,,,2005,
5,Atletico-MG,Brazil,2005-12-04,BR1,1,3,1,Juventude,,,,,2005,
6,Fluminense,Brazil,2005-12-04,BR1,1,2,3,Palmeiras,,,,,2005,
7,Flamengo RJ,Brazil,2005-12-04,BR1,1,4,1,Paysandu PA,,,,,2005,
8,Brasiliense,Brazil,2005-12-04,BR1,1,1,3,Ponte Preta,,,,,2005,
9,Atletico-PR,Brazil,2005-12-04,BR1,1,1,3,Sao Paulo,,,,,2005,
10,Parana,Brazil,2005-12-04,BR1,1,1,3,Vasco,,,,,2005,
11,Vasco,Brazil,2005-11-27,BR1,1,0,0,Atletico-MG,,,,,2005,
12,Paysandu PA,Brazil,2005-11-27,BR1,1,2,3,Atletico-PR,,,,,2005,
13,Figueirense,Brazil,2005-11-27,BR1,1,2,0,Brasiliense,,,,,2005,
14,Ponte Preta,Brazil,2005-11-27,BR1,1,1,3,Corinthians,,,,,2005,
15,Goias,Brazil,2005-11-27,BR1,1,0,0,Flamengo RJ,,,,,2005,
16,Juventude,Brazil,2005-11-27,BR1,1,2,1,Fluminense,,,,,2005,
17,Sao Paulo,Brazil,2005-11-27,BR1,1,0,1,Fortaleza,,,,,2005,
18,Palmeiras,Brazil,2005-11-27,BR1,1,1,2,Internacional,,,,,2005,
19,Cruzeiro,Brazil,2005-11-27,BR1,1,0,2,Parana,,,,,2005,
20,Botafogo RJ,Brazil,2005-11-27,BR1,1,1,2,Santos,,,,,2005,
21,Coritiba,Brazil,2005-11-27,BR1,1,1,1,Sao Caetano,,,,,2005,
22,Coritiba,Brazil,2005-11-20,BR1,1,0,1,Atletico-MG,,,,,2005,
23,Sao Caetano,Brazil,2005-11-20,BR1,1,2,2,Atletico-PR,,,,,2005,
24,Cruzeiro,Brazil,2005-11-20,BR1,1,1,2,Botafogo RJ,,,,,2005,
25,Internacional,Brazil,2005-11-20,BR1,1,1,1,Corinthians,,,,,2005,
26,Fluminense,Brazil,2005-11-20,BR1,1,1,5,Fortaleza,,,,,2005,
27,Flamengo RJ,Brazil,2005-11-20,BR1,1,1,0,Parana,,,,,2005,
28,Palmeiras,Brazil,2005-11-20,BR1,1,6,2,Ponte Preta,,,,,2005,
29,Paysandu PA,Brazil,2005-11-20,BR1,1,0,4,Vasco,,,,,2005,
30,Santos,Brazil,2005-11-19,BR1,1,0,1,Brasiliense,,,,,2005,
31,Goias,Brazil,2005-11-19,BR1,1,1,2,Juventude,,,,,2005,
32,Figueirense,Brazil,2005-11-19,BR1,1,2,4,Sao Paulo,,,,,2005,
33,Ponte Preta,Brazil,2005-11-17,BR1,1,1,2,Coritiba,,,,,2005,
34,Atletico-PR,Brazil,2005-11-17,BR1,1,2,1,Cruzeiro,,,,,2005,
35,Atletico-MG,Brazil,2005-11-17,BR1,1,2,0,Fluminense,,,,,2005,
36,Botafogo RJ,Brazil,2005-11-17,BR1,1,0,2,Paysandu PA,,,,,2005,
37,Vasco,Brazil,2005-11-16,BR1,1,1,5,Figueirense,,,,,2005,
38,Fortaleza,Brazil,2005-11-16,BR1,1,0,3,Flamengo RJ,,,,,2005,
