,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
0,Flamengo RJ,Brazil,2008-12-07,BR1,1,3,5,Atletico-PR,4.2,3.25,1.91,1.7,2008,2.15
1,Portuguesa,Brazil,2008-12-07,BR1,1,1,4,Cruzeiro,10.0,5.25,1.29,1.4,2008,2.8
2,Internacional,Brazil,2008-12-07,BR1,1,1,3,Figueirense,4.0,3.25,1.8,1.65,2008,2.25
3,Betim,Brazil,2008-12-07,BR1,1,1,1,Fluminense,7.5,4.75,1.3,1.53,2008,2.5
4,Sao Paulo,Brazil,2008-12-07,BR1,1,1,0,Goias,1.91,3.25,4.2,1.7,2008,2.15
5,Atletico-MG,Brazil,2008-12-07,BR1,1,0,2,Gremio,9.0,4.5,1.36,1.53,2008,2.5
6,Botafogo RJ,Brazil,2008-12-07,BR1,1,1,0,Palmeiras,7.5,4.5,1.4,1.55,2008,2.38
7,Nautico,Brazil,2008-12-07,BR1,1,0,0,Santos,4.5,2.25,2.2,1.8,2008,2.0
8,Coritiba,Brazil,2008-12-07,BR1,1,3,4,Sport Recife,3.5,3.1,2.0,1.85,2008,1.95
9,Vitoria,Brazil,2008-12-07,BR1,1,2,0,Vasco,7.0,3.8,1.4,1.5,2008,2.5
10,Santos,Brazil,2008-11-30,BR1,1,0,0,Atletico-MG,3.8,3.3,1.91,1.7,2008,2.1
11,Gremio,Brazil,2008-11-30,BR1,1,4,1,Betim,1.91,3.3,3.75,1.7,2008,2.1
12,Figueirense,Brazil,2008-11-30,BR1,1,3,1,Botafogo RJ,4.2,3.4,1.8,1.65,2008,2.2
13,Vasco,Brazil,2008-11-30,BR1,1,2,0,Coritiba,3.2,3.3,2.04,1.44,2008,2.7
14,Goias,Brazil,2008-11-30,BR1,1,3,3,Flamengo RJ,6.5,3.6,1.5,1.6,2008,2.29
15,Cruzeiro,Brazil,2008-11-30,BR1,1,0,1,Internacional,2.1,3.25,3.5,1.75,2008,2.04
16,Atletico-PR,Brazil,2008-11-30,BR1,1,1,2,Nautico,3.5,3.25,2.0,1.8,2008,2.0
17,Sport Recife,Brazil,2008-11-30,BR1,1,2,2,Portuguesa,5.75,3.6,1.55,1.85,2008,1.95
18,Fluminense,Brazil,2008-11-30,BR1,1,1,1,Sao Paulo,6.5,4.0,1.5,1.7,2008,2.1
19,Palmeiras,Brazil,2008-11-30,BR1,1,0,0,Vitoria,2.4,3.2,2.63,1.73,2008,2.08
20,Flamengo RJ,Brazil,2008-11-23,BR1,1,2,3,Cruzeiro,3.6,3.3,2.04,1.85,2008,1.95
21,Fluminense,Brazil,2008-11-23,BR1,1,2,0,Internacional,2.5,2.9,2.8,1.85,2008,1.95
22,Betim,Brazil,2008-11-23,BR1,1,0,2,Palmeiras,11.0,6.0,1.22,1.57,2008,2.35
23,Atletico-MG,Brazil,2008-11-23,BR1,1,0,3,Sport Recife,4.2,3.3,1.83,1.8,2008,2.0
