,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
0,Juventude,Brazil,2006-12-03,BR1,1,3,5,Corinthians,,,,,2006,
1,Botafogo RJ,Brazil,2006-12-03,BR1,1,1,3,Cruzeiro,,,,,2006,
2,Vasco,Brazil,2006-12-03,BR1,1,0,0,Figueirense,,,,,2006,
3,Palmeiras,Brazil,2006-12-03,BR1,1,1,1,Fluminense,,,,,2006,
4,Gremio,Brazil,2006-12-03,BR1,1,0,1,Fortaleza,,,,,2006,
5,Sao Paulo,Brazil,2006-12-03,BR1,1,0,0,Parana,,,,,2006,
6,Atletico-PR,Brazil,2006-12-03,BR1,1,1,1,Ponte Preta,,,,,2006,
7,Santa Cruz,Brazil,2006-12-03,BR1,1,1,3,Santos,,,,,2006,
8,Sao Caetano,Brazil,2006-12-02,BR1,1,1,4,Flamengo RJ,,,,,2006,
9,Goias,Brazil,2006-12-02,BR1,1,4,1,Internacional,,,,,2006,
10,Figueirense,Brazil,2006-11-26,BR1,1,4,1,Atletico-PR,,,,,2006,
11,Corinthians,Brazil,2006-11-26,BR1,1,0,0,Botafogo RJ,,,,,2006,
12,Ponte Preta,Brazil,2006-11-26,BR1,1,0,3,Goias,,,,,2006,
13,Flamengo RJ,Brazil,2006-11-26,BR1,1,0,3,Gremio,,,,,2006,
14,Fortaleza,Brazil,2006-11-26,BR1,1,2,2,Juventude,,,,,2006,
15,Internacional,Brazil,2006-11-26,BR1,1,4,1,Palmeiras,,,,,2006,
16,Fluminense,Brazil,2006-11-26,BR1,1,2,1,Santa Cruz,,,,,2006,
17,Parana,Brazil,2006-11-26,BR1,1,2,0,Sao Caetano,,,,,2006,
18,Cruzeiro,Brazil,2006-11-26,BR1,1,0,2,Sao Paulo,,,,,2006,
19,Santos,Brazil,2006-11-26,BR1,1,1,1,Vasco,,,,,2006,
20,Goias,Brazil,2006-11-19,BR1,1,2,2,Botafogo RJ,,,,,2006,
21,Santos,Brazil,2006-11-19,BR1,1,1,1,Cruzeiro,,,,,2006,
22,Ponte Preta,Brazil,2006-11-19,BR1,1,0,1,Fortaleza,,,,,2006,
23,Palmeiras,Brazil,2006-11-19,BR1,1,2,3,Juventude,,,,,2006,
24,Internacional,Brazil,2006-11-19,BR1,1,0,1,Parana,,,,,2006,
25,Vasco,Brazil,2006-11-19,BR1,1,1,0,Sao Caetano,,,,,2006,
26,Atletico-PR,Brazil,2006-11-19,BR1,1,1,1,Sao Paulo,,,,,2006,
27,Fluminense,Brazil,2006-11-18,BR1,1,1,1,Corinthians,,,,,2006,
28,Figueirense,Brazil,2006-11-18,BR1,1,2,0,Flamengo RJ,,,,,2006,
29,Santa Cruz,Brazil,2006-11-18,BR1,1,1,3,Gremio,,,,,2006,
30,Gremio,Brazil,2006-11-12,BR1,1,3,2,Atletico-PR,,,,,2006,
31,Corinthians,Brazil,2006-11-12,BR1,1,0,0,Figueirense,,,,,2006,
32,Cruzeiro,Brazil,2006-11-12,BR1,1,0,1,Fluminense,,,,,2006,
33,Sao Paulo,Brazil,2006-11-12,BR1,1,2,0,Goias,,,,,2006,
34,Botafogo RJ,Brazil,2006-11-12,BR1,1,1,2,Palmeiras,,,,,2006,
35,Flamengo RJ,Brazil,2006-11-12,BR1,1,0,3,Ponte Preta,,,,,2006,
36,Sao Caetano,Brazil,2006-11-12,BR1,1,3,0,Santa Cruz,,,,,2006,
37,Fortaleza,Brazil,2006-11-11,BR1,1,0,3,Internacional,,,,,2006,
38,Parana,Brazil,2006-11-11,BR1,1,0,1,Santos,,,,,2006,
39,Juventude,Brazil,2006-11-11,BR1,1,1,1,Vasco,,,,,2006,
40,Ponte Preta,Brazil,2006-11-09,BR1,1,0,0,Fluminense,,,,,2006,
41,Cruzeiro,Brazil,2006-11-09,BR1,1,1,4,Santa Cruz,,,,,2006,
42,Botafogo RJ,Brazil,2006-11-09,BR1,1,0,3,Sao Paulo,,,,,2006,
43,Corinthians,Brazil,2006-11-08,BR1,1,2,1,Atletico-PR,,,,,2006,
44,Flamengo RJ,Brazil,2006-11-08,BR1,1,1,0,Goias,,,,,2006,
45,Santos,Brazil,2006-11-08,BR1,1,0,0,Internacional,,,,,2006,
46,Gremio,Brazil,2006-11-08,BR1,1,2,1,Juventude,,,,,2006,
47,Fortaleza,Brazil,2006-11-08,BR1,1,0,3,Palmeiras,,,,,2006,
48,Figueirense,Brazil,2006-11-08,BR1,1,1,3,Sao Caetano,,,,,2006,
49,Parana,Brazil,2006-11-08,BR1,1,1,3,Vasco,,,,,2006,
50,Fluminense,Brazil,2006-11-05,BR1,1,1,2,Botafogo RJ,,,,,2006,
51,Santa Cruz,Brazil,2006-11-05,BR1,1,0,1,Corinthians,,,,,2006,
52,Vasco,Brazil,2006-11-05,BR1,1,1,2,Cruzeiro,,,,,2006,
53,Goias,Brazil,2006-11-05,BR1,1,3,0,Fortaleza,,,,,2006,
