,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
0,Chapecoense-SC,Brazil,2015-12-06,BR1,1,0,3,Atletico-MG,10.0,5.0,1.3,1.62,2015,2.25
1,Avai,Brazil,2015-12-06,BR1,1,1,1,Corinthians,6.0,3.8,1.57,1.73,2015,2.08
2,Vasco,Brazil,2015-12-06,BR1,1,0,0,Coritiba,3.0,3.2,2.38,2.25,2015,1.62
3,Fluminense,Brazil,2015-12-06,BR1,1,0,1,Figueirense,11.0,4.5,1.33,1.8,2015,2.0
4,Palmeiras,Brazil,2015-12-06,BR1,1,2,1,Flamengo RJ,5.75,4.0,1.55,1.75,2015,2.05
5,Sao Paulo,Brazil,2015-12-06,BR1,1,1,0,Goias,2.6,3.4,2.6,1.73,2015,2.08
6,Cruzeiro,Brazil,2015-12-06,BR1,1,0,2,Internacional,4.6,3.6,1.75,1.95,2015,1.85
7,Gremio,Brazil,2015-12-06,BR1,1,2,0,Joinville,1.8,3.5,4.5,2.05,2015,1.75
8,Sport Recife,Brazil,2015-12-06,BR1,1,1,0,Ponte Preta,2.75,3.3,2.5,1.95,2015,1.85
9,Atletico-PR,Brazil,2015-12-06,BR1,1,1,5,Santos,5.5,3.75,1.62,1.8,2015,2.0
10,Flamengo RJ,Brazil,2015-11-29,BR1,1,0,3,Atletico-PR,3.0,3.2,2.4,2.05,2015,1.75
11,Ponte Preta,Brazil,2015-11-29,BR1,1,0,1,Avai,4.75,3.6,1.75,2.1,2015,1.7
12,Goias,Brazil,2015-11-29,BR1,1,3,1,Chapecoense-SC,3.75,3.4,2.0,2.15,2015,1.67
13,Joinville,Brazil,2015-11-29,BR1,1,0,3,Cruzeiro,9.5,5.25,1.3,1.8,2015,2.0
14,Atletico-MG,Brazil,2015-11-29,BR1,1,1,2,Gremio,3.5,3.5,2.05,1.95,2015,1.85
15,Coritiba,Brazil,2015-11-29,BR1,1,2,0,Palmeiras,2.45,3.3,2.8,2.1,2015,1.7
16,Corinthians,Brazil,2015-11-29,BR1,1,0,2,Sport Recife,3.4,3.3,2.15,1.95,2015,1.85
17,Santos,Brazil,2015-11-29,BR1,1,0,1,Vasco,5.75,3.8,1.6,2.15,2015,1.67
18,Internacional,Brazil,2015-11-28,BR1,1,1,1,Fluminense,2.2,3.4,3.2,2.15,2015,1.67
19,Figueirense,Brazil,2015-11-28,BR1,1,2,3,Sao Paulo,7.5,3.75,1.5,2.0,2015,1.8
20,Goias,Brazil,2015-11-22,BR1,1,2,2,Atletico-MG,6.5,4.5,1.44,1.62,2015,2.25
21,Sao Paulo,Brazil,2015-11-22,BR1,1,1,6,Corinthians,2.88,3.2,2.5,2.05,2015,1.75
22,Santos,Brazil,2015-11-22,BR1,1,0,1,Coritiba,2.6,3.3,2.63,2.05,2015,1.75
23,Chapecoense-SC,Brazil,2015-11-22,BR1,1,0,0,Figueirense,4.33,3.6,1.8,2.3,2015,1.6
24,Ponte Preta,Brazil,2015-11-22,BR1,1,1,1,Flamengo RJ,5.0,3.5,1.73,2.08,2015,1.73
25,Avai,Brazil,2015-11-22,BR1,1,1,3,Fluminense,3.6,3.4,2.05,2.25,2015,1.62
26,Gremio,Brazil,2015-11-22,BR1,1,0,1,Internacional,2.7,3.2,2.6,2.35,2015,1.57
27,Vasco,Brazil,2015-11-22,BR1,1,2,1,Joinville,2.55,3.4,2.63,2.1,2015,1.7
28,Atletico-PR,Brazil,2015-11-22,BR1,1,0,0,Sport Recife,5.0,3.5,1.73,2.0,2015,1.8
29,Cruzeiro,Brazil,2015-11-21,BR1,1,1,1,Palmeiras,2.2,3.2,3.4,2.05,2015,1.75
30,Flamengo RJ,Brazil,2015-11-20,BR1,1,0,0,Santos,5.75,3.5,1.65,1.85,2015,1.95
31,Atletico-MG,Brazil,2015-11-20,BR1,1,2,4,Sao Paulo,3.75,3.4,2.0,1.73,2015,2.08
32,Corinthians,Brazil,2015-11-20,BR1,1,1,1,Vasco,2.6,3.1,2.8,2.4,2015,1.53
33,Palmeiras,Brazil,2015-11-19,BR1,1,3,3,Atletico-PR,3.1,3.25,2.3,2.08,2015,1.73
