,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
0,Vitoria,Brazil,2013-12-08,BR1,1,2,2,Atletico-MG,3.6,3.5,2.0,1.8,2013,2.0
1,Vasco,Brazil,2013-12-08,BR1,1,1,5,Atletico-PR,4.0,3.6,1.85,1.95,2013,1.85
2,Fluminense,Brazil,2013-12-08,BR1,1,2,1,Bahia,2.0,3.3,3.8,2.25,2013,1.62
3,Criciuma,Brazil,2013-12-08,BR1,1,0,3,Botafogo RJ,5.5,4.0,1.57,1.67,2013,2.15
4,Santos,Brazil,2013-12-08,BR1,1,3,0,Goias,7.0,4.0,1.5,1.73,2013,2.08
5,Ponte Preta,Brazil,2013-12-08,BR1,1,0,0,Internacional,15.0,6.0,1.2,1.67,2013,2.15
6,Gremio,Brazil,2013-12-08,BR1,1,0,0,Portuguesa,2.75,3.0,2.7,2.35,2013,1.57
7,Coritiba,Brazil,2013-12-08,BR1,1,1,0,Sao Paulo,2.5,3.5,2.63,2.0,2013,1.8
8,Cruzeiro,Brazil,2013-12-07,BR1,1,1,1,Flamengo RJ,4.33,3.4,1.85,1.75,2013,2.05
9,Corinthians,Brazil,2013-12-07,BR1,1,0,1,Nautico,2.0,3.4,3.75,2.1,2013,1.7
10,Internacional,Brazil,2013-12-01,BR1,1,0,0,Corinthians,3.0,3.0,2.5,2.7,2013,1.44
11,Botafogo RJ,Brazil,2013-12-01,BR1,1,1,2,Coritiba,3.2,3.25,2.25,2.1,2013,1.7
12,Sao Paulo,Brazil,2013-12-01,BR1,1,0,1,Criciuma,3.5,3.3,2.1,1.85,2013,1.95
13,Bahia,Brazil,2013-12-01,BR1,1,2,1,Cruzeiro,6.0,4.0,1.53,1.75,2013,2.05
14,Goias,Brazil,2013-12-01,BR1,1,0,1,Gremio,5.0,3.6,1.7,2.35,2013,1.57
15,Portuguesa,Brazil,2013-12-01,BR1,1,2,0,Ponte Preta,1.73,3.75,4.5,2.05,2013,1.75
16,Atletico-PR,Brazil,2013-12-01,BR1,1,1,2,Santos,2.25,3.25,3.2,2.05,2013,1.75
17,Nautico,Brazil,2013-12-01,BR1,1,0,2,Vasco,15.0,6.5,1.18,1.5,2013,2.5
18,Flamengo RJ,Brazil,2013-12-01,BR1,1,2,4,Vitoria,6.0,3.8,1.57,2.0,2013,1.8
19,Atletico-MG,Brazil,2013-11-30,BR1,1,2,2,Fluminense,4.75,3.6,1.75,2.08,2013,1.73
20,Goias,Brazil,2013-11-24,BR1,1,1,4,Atletico-MG,3.4,3.4,2.1,2.08,2013,1.73
21,Nautico,Brazil,2013-11-24,BR1,1,1,6,Atletico-PR,13.0,6.25,1.2,1.53,2013,2.4
22,Portuguesa,Brazil,2013-11-24,BR1,1,0,1,Bahia,3.5,3.2,2.15,2.25,2013,1.62
23,Corinthians,Brazil,2013-11-24,BR1,1,0,1,Flamengo RJ,2.88,3.0,2.6,2.7,2013,1.44
24,Coritiba,Brazil,2013-11-24,BR1,1,0,0,Internacional,4.6,3.6,1.75,1.8,2013,2.0
25,Gremio,Brazil,2013-11-24,BR1,1,1,1,Ponte Preta,2.2,3.25,3.3,2.2,2013,1.65
26,Fluminense,Brazil,2013-11-24,BR1,1,0,1,Santos,2.25,3.2,3.25,2.08,2013,1.73
27,Botafogo RJ,Brazil,2013-11-24,BR1,1,1,1,Sao Paulo,2.5,3.25,2.8,1.95,2013,1.85
28,Vitoria,Brazil,2013-11-23,BR1,1,1,1,Criciuma,3.1,3.25,2.3,1.8,2013,2.0
29,Cruzeiro,Brazil,2013-11-23,BR1,1,1,2,Vasco,4.5,3.75,1.75,1.95,2013,1.85
30,Vasco,Brazil,2013-11-17,BR1,1,0,0,Corinthians,4.33,3.2,1.91,2.6,2013,1.48
31,Criciuma,Brazil,2013-11-17,BR1,1,2,1,Coritiba,5.0,3.75,1.67,1.95,2013,1.85
32,Ponte Preta,Brazil,2013-11-17,BR1,1,2,2,Cruzeiro,5.5,4.0,1.57,1.75,2013,2.05
33,Sao Paulo,Brazil,2013-11-17,BR1,1,1,2,Fluminense,5.75,3.5,1.65,2.2,2013,1.65
34,Internacional,Brazil,2013-11-17,BR1,1,1,3,Goias,4.6,3.6,1.75,2.0,2013,1.8
35,Flamengo RJ,Brazil,2013-11-17,BR1,1,1,2,Gremio,8.5,4.0,1.44,2.15,2013,1.67
36,Bahia,Brazil,2013-11-17,BR1,1,1,0,Nautico,1.95,3.3,4.0,2.1,2013,1.7
