,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
0,America MG,Brazil,2011-12-04,BR1,1,1,5,Atletico GO,5.75,3.75,1.6,1.67,2011,2.15
1,Coritiba,Brazil,2011-12-04,BR1,1,0,1,Atletico-PR,2.4,3.25,2.9,1.95,2011,1.85
2,Figueirense,Brazil,2011-12-04,BR1,1,1,1,Avai,1.7,3.6,5.0,1.75,2011,2.04
3,Ceara,Brazil,2011-12-04,BR1,1,1,2,Bahia,2.8,3.4,2.4,1.75,2011,2.04
4,Fluminense,Brazil,2011-12-04,BR1,1,1,1,Botafogo RJ,1.95,3.5,3.75,1.75,2011,2.04
5,Palmeiras,Brazil,2011-12-04,BR1,1,0,0,Corinthians,5.25,3.6,1.67,1.85,2011,1.95
6,Atletico-MG,Brazil,2011-12-04,BR1,1,1,6,Cruzeiro,3.75,3.4,2.0,1.75,2011,2.04
7,Gremio,Brazil,2011-12-04,BR1,1,0,1,Internacional,5.5,3.6,1.65,1.57,2011,2.35
8,Santos,Brazil,2011-12-04,BR1,1,1,4,Sao Paulo,5.5,3.6,1.67,1.7,2011,2.1
9,Flamengo RJ,Brazil,2011-12-04,BR1,1,1,1,Vasco,3.1,3.25,2.29,1.85,2011,1.95
10,Atletico-PR,Brazil,2011-11-27,BR1,1,1,2,America MG,2.29,3.4,3.0,1.73,2011,2.08
11,Botafogo RJ,Brazil,2011-11-27,BR1,1,0,4,Atletico-MG,4.75,3.5,1.75,1.85,2011,1.95
12,Cruzeiro,Brazil,2011-11-27,BR1,1,2,2,Ceara,3.2,3.4,2.2,1.85,2011,1.95
13,Avai,Brazil,2011-11-27,BR1,1,0,1,Coritiba,10.0,5.0,1.3,1.53,2011,2.4
14,Corinthians,Brazil,2011-11-27,BR1,1,1,0,Figueirense,3.0,3.25,2.38,2.0,2011,1.8
15,Internacional,Brazil,2011-11-27,BR1,1,0,1,Flamengo RJ,2.8,3.25,2.5,1.95,2011,1.85
16,Vasco,Brazil,2011-11-27,BR1,1,2,1,Fluminense,3.1,3.4,2.25,1.8,2011,2.0
17,Atletico GO,Brazil,2011-11-27,BR1,1,2,2,Gremio,4.5,3.6,1.73,1.67,2011,2.15
18,Sao Paulo,Brazil,2011-11-27,BR1,1,0,1,Palmeiras,2.63,3.25,2.63,2.08,2011,1.73
19,Bahia,Brazil,2011-11-27,BR1,1,1,1,Santos,6.0,3.6,1.62,1.75,2011,2.04
20,Flamengo RJ,Brazil,2011-11-20,BR1,1,0,0,Atletico GO,2.6,3.2,2.75,2.0,2011,1.8
21,Palmeiras,Brazil,2011-11-20,BR1,1,2,0,Bahia,3.0,3.0,2.5,2.25,2011,1.62
22,Internacional,Brazil,2011-11-20,BR1,1,2,1,Botafogo RJ,2.7,3.25,2.6,1.95,2011,1.85
23,Atletico-MG,Brazil,2011-11-20,BR1,1,1,2,Corinthians,6.0,4.0,1.53,1.95,2011,1.85
24,Santos,Brazil,2011-11-20,BR1,1,0,1,Coritiba,6.0,4.0,1.53,1.6,2011,2.29
25,Atletico-PR,Brazil,2011-11-20,BR1,1,1,1,Cruzeiro,4.5,3.5,1.8,1.8,2011,2.0
26,Fluminense,Brazil,2011-11-20,BR1,1,4,0,Figueirense,3.0,3.2,2.4,1.95,2011,1.85
27,Ceara,Brazil,2011-11-19,BR1,1,3,1,Gremio,4.5,3.75,1.75,1.65,2011,2.2
28,America MG,Brazil,2011-11-19,BR1,1,1,3,Sao Paulo,5.5,3.75,1.62,1.6,2011,2.29
29,Avai,Brazil,2011-11-19,BR1,1,0,2,Vasco,10.0,5.25,1.29,1.53,2011,2.4
30,Coritiba,Brazil,2011-11-17,BR1,1,1,2,Atletico-MG,3.8,3.6,1.91,1.65,2011,2.2
31,Cruzeiro,Brazil,2011-11-17,BR1,1,0,0,Avai,2.63,3.3,2.6,1.73,2011,2.08
32,Corinthians,Brazil,2011-11-17,BR1,1,1,0,Ceara,2.5,3.3,2.75,2.0,2011,1.8
33,Figueirense,Brazil,2011-11-17,BR1,1,0,0,Flamengo RJ,3.75,3.6,1.91,1.65,2011,2.2
34,Vasco,Brazil,2011-11-17,BR1,1,1,1,Palmeiras,2.4,3.2,3.0,2.0,2011,1.8
35,Atletico GO,Brazil,2011-11-17,BR1,1,1,1,Santos,6.5,4.2,1.5,1.53,2011,2.4
36,Botafogo RJ,Brazil,2011-11-16,BR1,1,1,2,America MG,2.7,3.2,2.6,1.73,2011,2.08
37,Sao Paulo,Brazil,2011-11-16,BR1,1,0,1,Atletico-PR,3.25,3.2,2.25,1.85,2011,1.95
38,Gremio,Brazil,2011-11-16,BR1,1,4,5,Fluminense,6.5,4.09,1.5,1.6,2011,2.29
39,Bahia,Brazil,2011-11-16,BR1,1,0,1,Internacional,8.0,4.0,1.44,1.57,2011,2.35
40,Bahia,Brazil,2011-11-13,BR1,1,1,0,Atletico GO,4.2,3.6,1.83,1.8,2011,2.0
41,Santos,Brazil,2011-11-13,BR1,1,3,2,Ceara,4.33,3.5,1.73,1.7,2011,2.1
42,Atletico-PR,Brazil,2011-11-13,BR1,1,1,2,Corinthians,8.0,4.5,1.4,1.62,2011,2.25
43,Flamengo RJ,Brazil,2011-11-13,BR1,1,0,2,Coritiba,3.75,3.6,1.91,1.65,2011,2.2
44,Internacional,Brazil,2011-11-13,BR1,1,0,1,Cruzeiro,3.6,3.4,2.04,1.9,2011,1.9
45,Palmeiras,Brazil,2011-11-13,BR1,1,2,2,Gremio,4.0,3.4,1.91,1.95,2011,1.85
46,Botafogo RJ,Brazil,2011-11-13,BR1,1,0,2,Vasco,2.6,3.4,2.6,1.95,2011,1.85
47,Atletico-MG,Brazil,2011-11-12,BR1,1,1,2,Figueirense,3.75,3.4,2.0,1.85,2011,1.95
48,America MG,Brazil,2011-11-12,BR1,1,2,1,Fluminense,7.0,4.33,1.44,1.57,2011,2.35
49,Avai,Brazil,2011-11-12,BR1,1,0,2,Sao Paulo,7.0,4.33,1.44,1.48,2011,2.6
50,Corinthians,Brazil,2011-11-06,BR1,1,1,2,America MG,1.57,3.8,6.0,1.75,2011,2.04
51,Atletico GO,Brazil,2011-11-06,BR1,1,1,2,Atletico-PR,4.0,3.4,1.91,1.85,2011,1.95
52,Ceara,Brazil,2011-11-06,BR1,1,2,1,Avai,5.0,3.75,1.67,1.67,2011,2.15
53,Cruzeiro,Brazil,2011-11-06,BR1,1,1,5,Flamengo RJ,4.0,3.4,1.91,1.85,2011,1.95
54,Fluminense,Brazil,2011-11-06,BR1,1,2,1,Internacional,4.75,3.75,1.7,1.73,2011,2.08
55,Coritiba,Brazil,2011-11-06,BR1,1,2,0,Palmeiras,3.4,3.4,2.1,2.04,2011,1.75
56,Vasco,Brazil,2011-11-06,BR1,1,0,2,Santos,3.4,3.4,2.1,1.75,2011,2.04
57,Gremio,Brazil,2011-11-05,BR1,1,0,2,Atletico-MG,4.33,3.5,1.85,1.85,2011,1.95
58,Sao Paulo,Brazil,2011-11-05,BR1,1,3,4,Bahia,2.7,3.25,2.6,2.04,2011,1.75
59,Figueirense,Brazil,2011-11-05,BR1,1,1,0,Botafogo RJ,4.33,3.5,1.83,1.85,2011,1.95
60,Internacional,Brazil,2011-10-30,BR1,1,1,0,Atletico GO,2.8,3.2,2.5,2.0,2011,1.8
