,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
0,Avai,Brazil,2010-12-05,BR1,1,0,1,Atletico-PR,4.33,3.5,1.83,1.73,2010,2.08
1,Palmeiras,Brazil,2010-12-05,BR1,1,1,2,Cruzeiro,12.0,6.0,1.22,1.5,2010,2.5
2,Guarani,Brazil,2010-12-05,BR1,1,0,1,Fluminense,19.0,8.0,1.12,1.5,2010,2.5
3,Corinthians,Brazil,2010-12-05,BR1,1,1,1,Goias,1.3,5.0,10.0,1.6,2010,2.29
4,Botafogo RJ,Brazil,2010-12-05,BR1,1,0,3,Gremio,5.0,3.75,1.67,1.65,2010,2.2
5,Flamengo RJ,Brazil,2010-12-05,BR1,1,0,0,Santos,3.1,3.25,2.29,1.7,2010,2.1
6,Atletico-MG,Brazil,2010-12-05,BR1,1,0,4,Sao Paulo,3.1,3.4,2.25,1.73,2010,2.08
7,Ceara,Brazil,2010-12-05,BR1,1,0,2,Vasco,5.5,3.75,1.62,1.9,2010,1.9
8,Atletico GO,Brazil,2010-12-05,BR1,1,0,0,Vitoria,4.75,3.6,1.73,1.75,2010,2.04
9,Internacional,Brazil,2010-12-03,BR1,1,3,0,Barueri,1.73,4.0,4.33,1.6,2010,2.29
10,Sao Paulo,Brazil,2010-11-28,BR1,1,1,1,Atletico GO,5.5,4.0,1.57,1.67,2010,2.15
11,Goias,Brazil,2010-11-28,BR1,1,1,3,Atletico-MG,10.0,5.0,1.3,1.65,2010,2.2
12,Santos,Brazil,2010-11-28,BR1,1,2,3,Avai,4.5,3.5,1.8,1.6,2010,2.29
13,Barueri,Brazil,2010-11-28,BR1,1,1,3,Botafogo RJ,12.0,5.0,1.29,1.65,2010,2.2
14,Atletico-PR,Brazil,2010-11-28,BR1,1,1,1,Ceara,3.5,3.25,2.1,2.04,2010,1.75
15,Vasco,Brazil,2010-11-28,BR1,1,0,2,Corinthians,7.5,4.5,1.4,1.65,2010,2.2
16,Cruzeiro,Brazil,2010-11-28,BR1,1,2,1,Flamengo RJ,2.4,3.2,3.0,2.0,2010,1.8
17,Gremio,Brazil,2010-11-28,BR1,1,3,0,Guarani,2.1,3.3,3.5,1.95,2010,1.85
18,Vitoria,Brazil,2010-11-28,BR1,1,1,1,Internacional,5.0,3.75,1.67,1.95,2010,1.85
19,Fluminense,Brazil,2010-11-28,BR1,1,2,1,Palmeiras,1.4,4.5,7.5,1.7,2010,2.1
20,Atletico GO,Brazil,2010-11-21,BR1,1,0,3,Avai,4.5,3.5,1.8,1.73,2010,2.08
21,Internacional,Brazil,2010-11-21,BR1,1,2,1,Botafogo RJ,5.25,4.0,1.6,1.85,2010,1.95
22,Vasco,Brazil,2010-11-21,BR1,1,1,3,Cruzeiro,6.5,4.0,1.5,2.0,2010,1.8
23,Santos,Brazil,2010-11-21,BR1,1,4,1,Goias,2.5,3.3,2.75,1.67,2010,2.15
24,Atletico-MG,Brazil,2010-11-21,BR1,1,2,0,Palmeiras,1.8,3.5,4.33,1.95,2010,1.85
25,Fluminense,Brazil,2010-11-21,BR1,1,4,1,Sao Paulo,2.7,3.2,2.63,1.95,2010,1.85
26,Corinthians,Brazil,2010-11-21,BR1,1,1,1,Vitoria,2.5,3.3,2.75,2.04,2010,1.75
27,Ceara,Brazil,2010-11-20,BR1,1,1,1,Barueri,3.25,3.3,2.2,1.95,2010,1.85
28,Guarani,Brazil,2010-11-20,BR1,1,1,2,Flamengo RJ,6.0,4.2,1.5,2.0,2010,1.8
29,Atletico-PR,Brazil,2010-11-20,BR1,1,1,3,Gremio,5.25,3.6,1.67,1.85,2010,1.95
30,Palmeiras,Brazil,2010-11-14,BR1,1,0,3,Atletico GO,4.75,3.4,1.8,1.95,2010,1.85
31,Barueri,Brazil,2010-11-14,BR1,1,1,2,Atletico-PR,7.0,4.5,1.4,1.7,2010,2.1
32,Goias,Brazil,2010-11-14,BR1,1,1,1,Fluminense,9.0,5.0,1.33,1.6,2010,2.29
33,Vitoria,Brazil,2010-11-14,BR1,1,1,1,Guarani,3.0,3.2,2.38,2.1,2010,1.7
34,Avai,Brazil,2010-11-14,BR1,1,3,2,Internacional,7.0,4.33,1.44,1.8,2010,2.0
35,Sao Paulo,Brazil,2010-11-14,BR1,1,1,1,Vasco,3.0,3.4,2.29,1.85,2010,1.95
36,Flamengo RJ,Brazil,2010-11-13,BR1,1,1,4,Atletico-MG,3.75,3.4,2.0,1.9,2010,1.9
37,Cruzeiro,Brazil,2010-11-13,BR1,1,0,1,Corinthians,4.5,3.4,1.83,1.9,2010,1.9
38,Gremio,Brazil,2010-11-13,BR1,1,0,0,Santos,2.75,3.2,2.5,1.73,2010,2.08
39,Botafogo RJ,Brazil,2010-11-11,BR1,1,2,2,Ceara,2.88,3.3,2.4,2.04,2010,1.75
40,Botafogo RJ,Brazil,2010-11-07,BR1,1,0,0,Avai,2.88,3.25,2.45,1.85,2010,1.95
41,Goias,Brazil,2010-11-07,BR1,1,1,4,Barueri,2.63,3.3,2.6,1.75,2010,2.04
42,Atletico-PR,Brazil,2010-11-07,BR1,1,1,0,Flamengo RJ,4.5,3.5,1.8,1.95,2010,1.85
43,Vasco,Brazil,2010-11-07,BR1,1,0,1,Fluminense,4.0,3.4,1.91,2.0,2010,1.8
44,Guarani,Brazil,2010-11-07,BR1,1,0,1,Palmeiras,3.75,3.25,2.04,2.04,2010,1.75
45,Corinthians,Brazil,2010-11-07,BR1,1,2,0,Sao Paulo,3.0,3.2,2.38,1.85,2010,1.95
46,Cruzeiro,Brazil,2010-11-07,BR1,1,1,0,Vitoria,2.4,3.3,2.9,1.85,2010,1.95
47,Internacional,Brazil,2010-11-06,BR1,1,2,2,Atletico GO,2.9,3.3,2.38,1.9,2010,1.9
48,Santos,Brazil,2010-11-06,BR1,1,2,2,Atletico-MG,4.75,3.5,1.75,1.75,2010,2.04
